Country,Co2
World,33843.0497
Algeria,131.6345
Angola,29.3342
Antigua and Barbuda,0.5864
Argentina,195.7599
Armenia,5.42
Australia,391.2778
Austria,66.9377
Azerbaijan,32.0843
Bahamas,3.8361
Bahrain,28.81
Bangladesh,62.0415
Barbados,1.3116
Belarus,73.4612
Belgium,108.8945
Belize,0.6752
Benin,4.95
Bhutan,0.3208
Bolivia,16.7379
Bosnia and Herzegovina,21.22
Botswana,4.47
Brazil,477.7701
Brunei,8.4
Bulgaria,45.7447
Burkina Faso,1.406
Burundi,0.3151
Cambodia,4.17
Cameroon,7.0162
Canada,543.0242
Cape Verde,0.3857
Central African Republic,0.435
Chad,0.2643
Chile,80.0006
China,9312.5329
Colombia,73.9625
Comoros,0.1574
Democratic Republic of the Congo,2.42
Republic of the Congo,4.929
Cook Islands,0.1503
Costa Rica,6.75
Cote d'Ivoire,7.83
Croatia,17.19
Cuba,28.8928
Cyprus,6.46
Czech Republic,109.6788
Denmark,38.192
Djibouti,1.7963
Dominica,0.1321
Dominican Republic,19.81
Ecuador,36.9867
Egypt,219.5765
El Salvador,6.15
Equatorial Guinea,5.6144
Eritrea,0.54
Estonia,16.35
Ethiopia,7.93
Fiji,1.543
Finland,49.934
France,343.7368
Gabon,5.0215
Gambia,0.4722
Georgia,6.81
Germany,773.9585
Ghana,12.81
Greece,84.4863
Grenada,0.4313
Guatemala,10.49
Guinea,1.3882
Guinea-Bissau,0.4601
Guyana,1.6614
Haiti,2.07
Honduras,8.16
Hungary,45.1438
Iceland,1.84
India,2075.1808
Indonesia,456.0512
Iran,593.8195
Iraq,140.2182
Ireland,36.8471
Israel,75.9147
Italy,391.5932
Jamaica,7.09
Japan,1249.2135
Jordan,21.7
Kazakhstan,234.3763
Kenya,10.64
Kiribati,0.0585
North Korea,45.42
South Korea,617.2418
Kuwait,92.766
Kyrgyzstan,9.51
Laos,1.6233
Latvia,7.01
Lebanon,21.03
Lesotho,0.2701
Liberia,0.5416
Libya,51.1558
Lithuania,13.744
Luxembourg,10.22
Macedonia FYR,8.69
Madagascar,2.8857
Malawi,1.9103
Malaysia,207.8583
Maldives,1.1227
Mali,0.7739
Malta,2.52
Mauritania,2.4083
Mauritius,3.69
Mexico,460.4782
Moldova,7.62
Mongolia,14.22
Montenegro,2.3
Morocco,51.84
Mozambique,2.6
Myanmar,11.7416
Namibia,3.18
Nauru,0.1687
Nepal,4.89
Netherlands,175.2018
New Zealand,32.9921
Nicaragua,4.3
Niger,1.4108
Nigeria,94.1782
Niue,0.0035
Norway,38.2427
Oman,69.9356
Pakistan,152.1753
Panama,9.88
Papua New Guinea,3.3847
Paraguay,5.06
Peru,49.6038
Philippines,87.825
Poland,302.892
Portugal,52.5081
Qatar,79.1309
Romania,82.4578
Russia,1721.5376
Rwanda,0.7693
Saint Kitts and Nevis,0.2507
Saint Lucia,0.4157
Saint Vincent and the Grenadines,0.2689
Samoa,0.161
Sao Tome & Principe,0.1378
Saudi Arabia,480.2278
Senegal,5.64
Serbia,44.09
Seychelles,1.3043
Sierra Leone,1.3112
Singapore,49.75
Slovakia,33.3425
Slovenia,14.63
Solomon Islands,0.266
South Africa,382.8149
Spain,275.5208
Sri Lanka,15.86
Sudan,14.46
Suriname,2.2682
Swaziland,0.9369
Sweden,41.8636
Switzerland,43.1536
Syria,40.6131
Tajikistan,2.74
Tanzania,8.89
Thailand,273.0925
Togo,1.62
Tonga,0.1888
Trinidad and Tobago,38.6704
Tunisia,23.3462
Turkey,332.2792
Turkmenistan,65.2114
Uganda,2.5477
Ukraine,286.309
United Arab Emirates,181.2981
United Kingdom,463.4556
United States,5122.9094
Uruguay,8.39
Uzbekistan,116.0443
Vanuatu,0.1661
Venezuela,207.054
Vietnam,173.0497
Yemen,20.5386
Zambia,2.76
Zimbabwe,9.98
